Namn;Märke;Typ;Pris;Förmånsvärde;Url
U5 Plus;Aiways;El;459 900 kr;4 241 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/aiways-u5-plus
U5 Premium;Aiways;El;499 900 kr;4 497 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/aiways-u5-premium
U6 Premium;Aiways;El;549 900 kr;4 817 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/aiways-u6-premium
A110;Alpine;Bensin,Prisökning +1.15 %;662 500 kr;9 747 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/alpine-a110
A110 GT;Alpine;Bensin,Prisökning +1.00 %;757 500 kr;10 963 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/alpine-a110-gt
A110 S;Alpine;Bensin,Prisökning +0.96 %;792 500 kr;11 411 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/alpine-a110-s
A1 Sportback 30 TFSI 110 hk Proline;Audi;Bensin,Prisökning +1.45 %;244 500 kr;4 397 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-a1-sportback-30-tfsi-110-hk-proline
A1 allstreet 30 TFSI 110 hk Proline;Audi;Bensin;270 400 kr;4 729 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-a1-allstreet-30-tfsi-110-hk-proline
A1 Sportback 35 TFSI 150 hk S tronic Proline;Audi;Bensin,Prisökning +1.43 %;276 800 kr;4 811 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-a1-sportback-35-tfsi-150-hk-s-tronic-proline
A1 allstreet 35 TFSI 150 hk Proline;Audi;Bensin;280 800 kr;4 862 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-a1-allstreet-35-tfsi-150-hk-proline
A1 Sportback 35 TFSI 150 hk S tronic S line;Audi;Bensin,Prisökning +1.26 %;313 000 kr;5 274 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-a1-sportback-35-tfsi-150-hk-s-tronic-s-line
A1 Sportback 40 TFSI 207 hk S tronic S line;Audi;Bensin,Prisökning +1.34 %;331 700 kr;5 513 kr;https://xn--frmnsvrde-02ah5r.se/formansvarde/audi-a1-sportback-40-tfsi-207-hk-s-tronic-s-line
